0
0,**은행에서는 단 3일 동안 최대 1천만원을 추첨하는 럭키박스 이벤트를 진행하고 있습니다.
1,"이 이벤트는 **은행의 고객에게만 제공되며, 참여하신 분들 중 한 분을 추첨하여 1천만원을 드립니다."
2,"이벤트 기간은 9월 28일부터 9월 30일까지이며, 당첨자 발표 및 경품 지급은 10월 8일에 이루어집니다."
3,"경품은 **은행의 입출금이 자유로운 예금 계좌로 지급되며, 발표일로부터 10영업일 이내에 지급됩니다."
4,이벤트에 참여하시려면 [Service]에서 럭키박스를 열고 상품을 확인한 후 응모하셔야 합니다.
5,자세한 내용은 고객센터(☎XXXX-XXXX)로 문의하시기 바랍니다.
6,**은행에서는 [Company]의 '청년내일계좌'에 관심을 가져 주신 ***님께 감사의 선물로 ‘신라면 큰사발’을 준비하였습니다.
7,"오늘 단 하루, [Company]에 로그인 하시면 8/16(수) 쿠폰을 적립해 드립니다."
8,"참여 방법은 오늘 [Company] 로그인만 하면 되며, 참여 기간은 23.07.31(월)로 단 하루입니다."
9,"증정 경품은 [CU] 농심)신라면 큰사발 교환권 1매이며, 쿠폰 적립일은 2023.08.16(수)입니다."
10,"쿠폰은 [Company] 앱 푸시로 적립 알림이 전송되며, 쿠폰 확인은 [Company] 앱의 My하나>쿠폰함에서 가능합니다."
11,참여를 원하시면 아래 링크를 통해 바로 로그인해주세요.
12,"[URL] **은행은 대표 스마트폰뱅킹 브랜드이며, 이벤트는 **은행의 사정에 따라 변경 또는 중단될 수 있으며, 각 이벤트별 혜택은 동일 금액대의 다른 상품으로 변경될 수 있습니다."
13,"또한, 본 이벤트 경품은 교환, 환불, 환가, 연장 및 재발급이 불가능하며, 쿠폰 사용 관련 유의사항은 발급된 모바일 쿠폰 하단에 명시되어 있습니다."
14,**은행 고객센터(XXXX-XXXX)로 문의하시기 바랍니다.
15,은행에서는 [Service] 멤버십 Grand Open 이벤트를 개최한다고 알려주고 있습니다.
16,"이벤트 기간은 2023년 7월 10일부터 7월 30일까지이며, 이벤트에 참여하려면 [Service] 서비스에 등록하고 응모해야 합니다."
17,"이벤트에는 두 가지 이벤트가 있으며, 첫 번째 이벤트는 매주 화요일에 룰렛을 돌려 경품을 받을 수 있는 이벤트입니다."
18,"경품으로는 워커힐 그랜드 클럽스위트 숙박권, 골드바, 신라호텔 더파크뷰 1인식사권, BBQ 황금올리브치킨+ 콜라 1.25L 모바일쿠폰, 스타벅스 카페아메리카노 Tall 모바일쿠폰, 포인트리 100P가 제공됩니다."
19,두 번째 이벤트는 [Service] 서비스에서 등급을 확인하고 이벤트 페이지에서 본인 등급을 선택하는 이벤트입니다.
20,"이 이벤트에는 KB금융 주식쿠폰 5천원권이 30,000명에게 추첨을 통해 제공됩니다."
21,"경품의 지급 방법은 이벤트 페이지를 참고하면 되며, 상품 가입 전에는 상품 설명서와 약관을 꼭 확인해야 합니다."
22,이벤트에 대한 자세한 문의는 은행 고객센터로 연락하면 됩니다.
23,KB국민은행에서는 이지론 대출 상품에 대한 할인 이벤트를 진행하고 있습니다.
24,"이 이벤트는 2023년 8월 2일부터 9월 4일까지 진행되며, 이지론 대출의 금리가 연 15.60%에서 연 15.10%로 할인됩니다."
25,"대출 가능한 금액은 440만원이며, 신청은 KB PAY 앱, 은행 자동화기기, 금융서비스센터, 고객센터를 통해 가능합니다."
26,신청 가능한 시간은 01:00부터 23:00까지입니다.
27,"또한, KB국민은행에서는 타사 대출을 이용하고 있는 고객들을 위해 이지대환대출 상품도 제공하고 있습니다."
28,"이 상품은 최고 1억원까지 대출 가능하며, 적용 금리는 5.9%에서 19.9%까지 차등적용됩니다."
29,대출 기간은 3개월부터 54개월까지 선택할 수 있습니다.
30,"이 외에도 대출 가능 여부와 대출 가능 금액은 개인 신용평점과 회사 정책, 차주별 DSR 기준에 따라 변동될 수 있으며, 대출 취급이 부적정한 경우 대출이 제한될 수 있습니다."
31,"또한, 대출 상환 방법은 원(리)금 균등분할 등이며, 대출금이 과도할 경우 개인 신용평점이 하락할 수 있으니 주의해야 합니다."
32,"마지막으로, 해당 상품에 대한 상품 설명서와 약관을 반드시 확인하고 거래를 진행해야 합니다."
33,**카드를 이용해주시는 *** 고객님께 깊은 감사의 말씀을 드립니다.
34,저희 **카드는 고객님의 이용한도를 상향할 수 있는 기회를 안내해 드리고자 합니다.
35,"현재 고객님의 총 한도는 300만원이며, 이를 500만원으로 상향할 수 있습니다."
36,"또한, **카드대출(현금서비스) 한도도 120만원에서 200만원으로 상향 가능합니다."
37,"한도상향을 원하시는 경우, 아래 링크 또는 전용 ARS를 통해 신청하실 수 있습니다."
38,상향 신청 바로가기 링크는 [URL]입니다.
39,"또한, [Company]pLay에서도 상향 신청이 가능하며, 챗봇을 통해 1:1 상담도 가능합니다."
40,"상담을 원하시는 경우, 챗봇에서 상담하기를 선택해 주세요."
41,"또한, 전용 ARS를 통해 신청하실 수도 있으며, 전화번호는 ☎15667227입니다."
42,"다만, **카드 사정에 따라 이용한도가 상향되지 않을 수도 있으니 양해 부탁드립니다."
43,"또한, 고객님의 신용도나 월 가처분소득 변경 등의 사유에 따라 이용한도가 다시 조정될 수 있으니 이 점 참고해 주시기 바랍니다."
44,기타 문의사항이 있으시면 고객센터(☎15447000)로 문의해 주세요.
45,감사합니다.
46,증권에서는 비대면계좌 수수료 혜택을 신청하면 온라인 국내주식 위탁수수료 혜택을 받을 수 있다고 안내하고 있습니다.
