deidentified_text,overview
0,"**은행]
[Web발신]
**은행]
Oh my gosh! ♬ ♬
에스파와 함께 입장해요!
Gimme Gimme now, ★웰컴기프트★

▶ 리브 Next HIDDEN STAY-Z 이벤트1 자세히 보기
[URL] 

■ 이벤트 대상: 리브 Next *** 고객님!

■ 참여방법
□ 리브 Next 앱 다운로드 및 회원가입하기
□ 이벤트페이지 내 '선물 선택하기' 클릭!

■ 경품
CU 모바일 금액권 2,000원권 또는 카카오 이모티콘 4종(선착순) 中 택 1 ★100%지급★
아이패드 9세대 256G 6명 ★추가추첨★

■ 이벤트 기간
2021.11.22(월) ~ 12.31(금)
 
■ 경품 지급일
2022.1.31(월) 이내
(이벤트 세부 일정은 이벤트 페이지에서 확인하세요.)

▶ 챗봇에게 물어보기
[URL]

※ 본 이벤트는 리브Next 앱(기존 리브 앱 제외)의 이벤트 페이지에서만 응모가 가능하며, 응모는 1인 1회만 가능합니다.
**은행부담입니다.
※계약체결/가입 전 설명서 및 약관 필독 
※금융상품, 서비스에 대해 설명 요청 가능
**은행의 사정으로 변경 또는 중단될 수 있습니다.
**은행 홈페이지 (www.kbstar.com)를 통해서 확인 가능합니다.

준법감시인 심의필 제2021-3089-3호(2021.11.16) (유효기간 2022.1.31까지)
무료수신거부 XXX-XXXX-XXXX

☎15889999/무료수신거부0808535882","**은행이 리브 Next 앱을 다운로드하고 회원가입하는 고객들을 대상으로 웰컴기프트 이벤트를 진행하며, 참여 고객들에게는 CU 모바일 금액권 또는 카카오 이모티콘을 100% 지급하고, 추가로 아이패드를 추첨하여 제공하는 이벤트를 진행 중입니다."
1,"**카드, 행사안내] 디스커버 무료구독+포인트 이벤트
[Web발신]
**카드] *** 고객님, 디스커버 무료구독하고 포인트도 받으세요~

아직도 유료로 콘텐츠 보시나요?
디스커버는 구독료가 0원!
매일매일 올라오는 콘텐츠가 모두 무료!

★여기에 포인트 이벤트는 덤★

■ 이벤트안내
  ① 6월 30일까지 놀러가면 100p
  ② 7월 1일부터 7월 31일까지
     또 놀러가면 400p 추가 !

■ 디스커버에는,
핫플레이스, 자기계발, 생활꿀팁이 가득~
구경만 하러 오셔도 포인트를 드려요↓
[URL]
------------------------------------
*준법감시 심의필 제20230616-Exc-001호(2023.06.16~2024.06.15)
**카드의 사정에 따라 사전고지 없이 경품 및 내용 변경 또는 조기 종료될 수 있습니다.
* 이 외 다른 디스커버 이벤트와 중복참여 불가할 수 있으며, 인당 최대 500포인트가 지급됩니다.
* 마이[Service]: 2023.08.18
**카드 고객센터(XXXX-XXXX)
* 수신거부 : XXX-XXXX-XXXX(무료)","'디스커버' 서비스를 무료로 구독하고, 특정 기간 동안 서비스를 이용하면 추가 포인트를 제공하는 이벤트를 진행 중입니다."
2,"(광고)[[Company]]지금바로 발행어음
[Web발신]
 (광고)[[Company]] ♡ 발행어음 가입혜택 ♡

▣ 이벤트 기간 : 4.10 ~ 5.31

▣ 이벤트 상품 : 발행어음 약정 181일물 이상

▣ 이벤트 내용

- 신세계상품권 1만원 (1천만원 이상 순매수시 전부 지급)

- 가입금액의 0.1% 캐시백 최대 100만원 (1억원이상 순매수시, 100명 추첨지급)

☞ [URL]
(당사 온라인 매체를 통해 가입한 상품에 한해 적용, 이벤트 신청 필수)

**증권(AA, 23.3.29, 한국신용평가)의 신용위험에 따른 원금손실가능 (AAA/AA.A.BBB각 +,0,-순으로 투자적격등급 구분) ※중도해지시 보유기간에 따라 낮은 수익율 적용(2023.1.2기준, 보유기간 1~90일-매수시점 고시수익율*20%, 91~180일-매수시점 고시수익율*30%, 181~270일-매수시점 고시수익율*50%, 271~364일-매수시점고시수익율*70%)※적립식 발행어음에 대한 자세한 사항은 홈페이지를 참고하여 주시기 바랍니다.

**증권 준법감시인 심사필 제2023-03452호
※ 유효기간 : 2023.04.11 ~ 2023.05.31

거부(무료)XXX-XXX-XXXX","[[Company]]에서 발행어음 약정 181일물 이상 가입 시, 신세계 상품권과 최대 100만원의 캐시백을 제공하는 이벤트를 진행합니다."
3,"(광고)100% 증정 놓치지마세요!
**카드] 
D-2! 지금 바로 글로 간편 회원가입하고,스타벅스 커피쿠폰과 5천원 캐시백까지 모두 받아가세요!

▶100% 혜택 받기
[URL]

■ [혜택1] 글로 회원  가입 시 스타벅스 커피쿠폰100% 증정
- 인증 코드: [Service]3Q79CI
- 기간: 2023.7.30(일)까지(종료 2일전)
- 경품 발송일: 2023.8.14(개별 문자 발송)

▶ 초간단 참여 방법
1) 상단의 인증 코드를 복사
2) 링크 클릭 후 인증 코드 붙여 넣고 간편가입 하면 완료!

■ [혜택2] 글로 하이퍼 X2 50% 할인 + 캐시백
**카드로  글로 하이퍼 X2 구매 시, 5천원 캐시백
- 이벤트 기간: ~ 2023.8.6(소진 시 종료)
- 캐시백 지급일: 2023.8.31 이내 본인 결제계좌로 입금

■꼭 알아두세요
-  만 19세 이상 성인만 참여 가능
- 글로 회원가입 이력이 없는 문자수신고객 대상으로 진행.
- 발송된 인증 코드는 중복 사용 불가, 타인에 공유 시 사용 불가
- 캐시백은  [혜택1]의 인증 코드로 가입한 고객을 대상으로만 진행됨
**카드 탈회 시 지급 제외됨

계약 체결 전 상품설명서와 약관을 확인하시기 바랍니다
**카드 사용액이 과도할 경우, 귀하의 개인신용평점이 하락할 수 있습니다.
개인신용평점 하락 시 금융거래 관련 불이익이 발생할 수 있습니다.
일정기간 원리금 연체 시, 모든 원리금 변제 의무가 발생할 수 있습니다.
**카드발급이 제한될 수 있습니다.
**카드이용대금과 수반되는 모든 수수료를 지정된 대금 결제일에 상환합니다.
금융소비자는 해당상품 또는 서비스에 대하여 설명을 받을 권리가 있으며, 그 내용을 충분히 이해한 후 거래하시기 바랍니다.
**카드 광고성 정보 수신 *** 고객님께 발송되었습니다.(동의 여부는 전 영업일자 기준)

■[문의]
글로 케어 센터: XXX-XXXX-XXXX

**카드의 영업정책 및 제휴업체의 사정으로 변경 또는 중단될 수 있습니다.

※ 준법감시인 심의필
230712-02563-LMS(2023.07.12)
※ 무료수신거부 ☎XXX-XXXX-XXXX","'글로'에서 신규 회원가입을 하면 스타벅스 커피 쿠폰을 증정하며, 특정 제품 구매 시에는 추가로 캐시백 혜택을 제공하는 이벤트를 진행 중입니다."
4,"(광고)설문 참여 시  CU상품권!
**카드]
선물 드리고 싶어서 진행하는 
설문조사 이벤트! 

■ 혜택
- CU 모바일상품권 1천원 100% 지급 (설문완료고객)

☞설문 참여하기
[URL] 
(약 5분 소요,1인 1회 한정)

■ 이렇게 참여하세요
[Service],설문 참여하기 버튼 클릭!
둘,설문응답 완료하면 CU 모바일상품권 1천원 100% 지급!

■ 기간: 2023.5.19(금)~5.22(월)

**카드 고객
        
■ 혜택 제공
 - CU 모바일상품권 1천원: 2023.5.30(화) 이내 지급

■꼭 알아두세요
- 타인에게 링크 공유할 경우 혜택 제공되지 않음
- 설문 참여는 설문 응답 조건에 따라 제한될 수 있음
- 선착순으로 진행되는 조사로 조건에 따라 일부 조기 종료될 수 있음 
**카드 탈회 시 지급 제외됨

**카드 광고성 정보 수신 *** 고객님께발송되었습니다. (동의여부는 전 영업일자 기준)

■문의
- 한국여론평판연구소(KOPRA)
 (☎ XXX-XXXX-XXXX)

**카드의 영업정책 및 제휴업체의 사정으로 변경 또는 중단될 수 있습니다. 

※ 준법감시인 심의필
230515-01679-LMS(2023.05.15)
※ 무료수신거부 ☎XXX-XXXX-XXXX",'**카드'에서 설문조사 참여 고객을 대상으로 CU 모바일상품권 1천원을 100% 지급하는 이벤트를 진행합니다.
5,"나라사랑 청년들을 위한 청춘몰 할인!
**카드]

바르닭/ 익스트림/ 하빈져 청춘몰 최대 67%할인

① 닭가슴살의 정답 바르닭 패키지 49,900원(정가 129,000원)

② 김종국의 익스트림 쿠폰할인 최대 67%할인!

③ 하빈져 단독 할인 최대 46%할인!

④ 쉬운 토익 공식! 에듀윌 토익!
쉬토공 평생 패스청춘몰 입점기념 
단독 40%할인! 

☞ 청춘몰 2022 AWARDS
[URL]

☞ 쉬운토익공부 에듀윌 40%
[URL]

☞ 나라사랑 청춘몰 바로 가기
[URL]

■ 기간: 2022.12.1(목) ~12.20(화)
**카드 회원
■ 꼭 알아두세요
**카드로 결제 시에만 적용되는 가격입니다.(그 외 결제방법으로 구매 시 혜택을 받을 수 없습니다.)
- 바르닭, 하빈져 상품은 신규회원 전용 쿠폰을 적용하여 구매가 불가합니다.
- 익스트림 상품은 쿠폰적용 후 구매해야 할인가가 적용됩니다.
- 행사관련 내용은 제휴업체 청춘몰의 정책에 따릅니다.

**카드 광고성 정보 수신 *** 고객님께 발송되었습니다.(동의 여부는 전 영업일자 기준)

**카드 고객센터(☎XXXX-XXXX), 청춘몰 고객센터(XXXX-XXXX)

**카드의 영업정책 및 제휴업체의 사정으로 변경 또는 중단될 수 있습니다.
- 준법감시인 심의필 221129-03885-LMS(2022.11.29)
----------------------------------
세상 편리한 결제 [Service]설치
[URL]
생활편의업종 무이자할부
[URL]
----------------------------------
※ 무료수신거부 ☎XXX-XXXX-XXXX",'청춘몰'에서 제공하는 다양한 상품들이 특정 카드를 이용하면 최대 67%까지 할인되는 이벤트를 진행 중입니다.
6,"100% 증정 설빙쿠폰 당첨!
**카드] 
[Service], 인절미설빙 쿠폰 받으세요!

■ 제공 혜택 
행사기간 내 [Service]시 인절미설빙 쿠폰 증정!

**카드 제외)

■ 행사 기간 : 2022.7.21(목) ~ 7.31(일)

■ 혜택 제공
2022.8.26(금) 이내 당사에 등록된 휴대폰 번호로 전송

■ 꼭 알아두세요!
- 응모 불필요
- 본 메시지 수신 고객에 한해 혜택 제공
- [Service]신규등록 이벤트와 중복적용 불가
**카드 해지 및 [Service]시 대상에서 제외

■ [Service]
다양한 결제 수단을 등록하여 [Service]국내/해외 어디서나 쉽고 편리하게 결제할 수 있는 모바일 서비스

▶ [Service]바로가기 : [URL]

**카드 광고성 정보 수신에 *** 고객님께 발송되었습니다. (전 영업일자 기준)

■ 문의 
**카드 고객센터(☎XXXX-XXXX)

**카드의 영업정책 및 제휴업체의 사정으로 변경 또는 중단될 수 있습니다.

※ 준법감시인 심의필
220719-02314-LMS(2022.07.19)
※ 무료수신거부 ☎XXX-XXXX-XXXX","해당 모바일 서비스를 이용하는 고객들에게 한정된 기간 동안 인절미설빙 쿠폰을 증정하는 이벤트를 진행하며, 쿠폰은 등록된 휴대폰 번호로 전송됩니다."
7,"에어팟 프로 55%할인 행사
**카드]
나라사랑 회원 에어팟 프로 55% 단독 할인

[Service]청춘몰 특별행사!
**카드 단독 55% (329,000 -> 150,000원) 
**카드 사용자 전용 이벤트 참여 후 100명 한정 추첨을 통하여
329,000원 -> 150,000원 (무료배송) 구매 링크 전송 
**1인 1회 참여 가능

☞ 에어팟 3세대 55%할인 이벤트 
[URL]

■ 기간 : 2022.5.31~6.7 
**카드 회원
■ 발표 : 06월 09일 (목) 당첨자 개별 카카오톡 및 문자 안내 
 
행사② 남양유업 테이크 핏 100원! (정가 26,900원)
-남양 청춘몰 단독 이벤트 진행 후 <건강기능식품 단백질 쉐이크 테이크핏>을 100원에 제공!

행사③ 정관장 직영몰 재 입점기념 단독 할인 
-정관장의 우수상품군만 따로 모았다! 청춘몰 단독 기획상품 최대 

■ 기간 : 2022.5.31~6.31 
**카드 회원


☞ 단백질 쉐이크 100원 이벤트 바로가기
[URL]
☞ 정관장 직영몰 바로가기
[URL]
☞ 나라사랑 청춘몰 바로 가기
[URL]


■ 꼭 알아두세요
**카드 서비스 혜택과 중복 적용 가능
- 행사기간 중 1인 1회만 참여가능
- 기타 행사관련 내용은 제휴업체 청춘몰의 정책에 따름
**카드 광고성 정보 수신 *** 고객님께 발송되었습니다.(동의 여부는 전 영업일자 기준으로 발송 시점과 다를 수 있으니 양해를 부탁드립니다.)

**카드 고객센터(☎XXXX-XXXX), 청춘몰 고객센터(XXXX-XXXX)
※ 보이는 ARS ☞ [URL]

**카드의 영업정책 및 제휴업체의 사정으로 변경 또는 중단될 수 있습니다.
- 준법감시인 심의필 220504-01330-LMS (2022.05.04~2022.10.03)
※ 무료수신거부 ☎XXX-XXXX-XXXX","'**카드' 회원을 대상으로 에어팟 프로 55% 할인, 단백질 쉐이크 100원 판매, 정관장 직영몰 재입점 기념 할인 등 다양한 행사를 진행하는 청춘몰의 특별 이벤트 안내입니다."
8,"**카드 이벤트 안내
**카드]
인터파크에서도
[Service]!

▶ [Service]바로가기: [URL] 

■ 대상
본 문자 수신하고 [Service]및 이용한 고객 전원

■ 혜택 1
문자 수신 후 [Service]가입하면 1,000 포인트리 지급

■ 혜택 2
행사종료일까지 인터파크에서 [Service]30,000원 이상 결제 시 추가 5,000 포인트리 지급

■ 기간: 2022.5.1(일) ~ 5.29(일)

■ 혜택제공
- 행사1: 5.1~5.15 가입 고객은 5.16(월) 지급/5.16~5.29 가입 고객은 5.30(월) 지급
- 행사2: 6.24(금) 이내 지급

■ 꼭 알아두세요
- 공통 : 혜택 지급 시점에 [Service]시 혜택 지급 불가능
- 행사별 혜택 지급은 회원 1인당 1회에 한함
- 행사2. 인터파크 전체 카테고리(쇼핑, 티켓, 투어, 도서 등)를 포함하며, 인터파크 오프라인 가맹점(블루스퀘어 등) 및 실시간 항공권(국내선/국제선) 결제 건 제외
**카드 외 결제수단(결제계좌, 상품권, 포인트리)도 포함
- 행사2. 2022.6.10(금)까지 정상매입되지 않은 건은 혜택 지급에서 제외
- 포인트리 지급 내역은 [Service]타임라인에서 확인 가능
- 예산 소진 시 조기 종료 가능

**카드 광고성 정보 수신 *** 고객님께 발송되었습니다.(전 영업일자 기준)

■ 문의
**카드 고객센터 (☎XXXX-XXXX)

**카드의 영업정책 및 제휴업체의 사정으로 변경 또는 중단될 수 있습니다.
※ 준법감시인 심의필
220427-01211-LMS(2022.04.27)

----------------------
세상 편리한 결제 [Service]설치
[URL]
투표만 해도 NFT 드려요
[URL]
----------------------
※ 무료수신거부 ☎XXX-XXXX-XXXX","""인터파크에서 특정 서비스를 이용하고 결제 시 포인트리를 지급하는 이벤트를 진행하며, 이벤트 참여 및 혜택 지급에 대한 세부 사항과 유의사항이 안내되어 있다."""
9,"요기요 상품권 7만원 증정 이벤트
**카드] 
요기요에서 무료로 매월 3만원 할인받는 법 알려드려요~
30초만 읽고, 3분만 투자하면 연 최대 36만원 할인 쿠폰 혜택이!
(속닥속닥) 이번 달엔 요기요 7만원 모바일 상품권도 덤!

■ *** 고객님께 드리는 혜택
① 요기요에서 무료로 매월 3만원 할인
**카드로 요기패스 구독료 자동납부 시 
**카드 등록 > 요기요 3만원 할인 쿠폰 바로 지급
※ 요기패스 기가입 고객은 마이요기요에서 결제수단 변경

② 요기요 모바일 상품권 7만원 증정 이벤트
**카드 7만원 이상 이용 및 요기패스 정기결제 승인(등록 포함) 시
- 행사 기간 : 2021.11.1(월)~2021.11.30(화)
**카드에 등록된 본인 휴대폰번호로 발송

**카드 혜택 자세히 보기 
☞ [URL]

■ 이벤트 바로가기
☞ [URL]

■ 꼭 알아두세요
- 요기패스에 관한 자세한 내용은 요기요 앱을 통해 확인 부탁드립니다.

[이벤트 유의사항]
**카드대출(현금서비스)금액은 제외됩니다.
**카드로 교체 포함) 시 이벤트 대상에서 제외됩니다.
**카드 다른 이용금액증대 이벤트 혜택을 지급받으신 경우 조건을 충족하시더라도 혜택이 지급되지 않습니다.

**카드 광고성 정보 수신 *** 고객님께 발송되었습니다. (전 영업일자 기준)

■ 문의
**카드 고객센터(☎XXXX-XXXX)

**카드의 영업정책 및 제휴업체의 사정으로 변경 또는 중단될 수 있습니다.
※ 여신금융협회 심의필 제2021-C1f-09937호(2021.11.11)
※ 무료수신거부 ☎XXX-XXXX-XXXX","""요기요에서 **카드를 사용하여 요기패스를 구독하면 매월 3만원 할인 혜택을 받을 수 있으며, 이번 달에는 추가로 요기요 모바일 상품권 7만원을 증정하는 이벤트를 진행합니다."""
