deidentified_text,overview
0,"**은행]
[Web발신]
**은행] 단 3일! 최대 1천만원(추첨)! 꽝 없는 럭키박스 이벤트

아직 안 열어본 럭키박스가 있어요!
100%당첨 럭키박스가 사라지기전에
지금 바로 열어보세요~~
1천만원 추첨 행운의 기회까지 get!

-본 이벤트는 이 메시지를 *** 고객님만 참여 가능합니다-

▶ [Service]열기
[URL]

■ 참여방법 
럭키박스 열고 상품 확인 후 응모하면 100% 드림! (★응모필수★)
전체 응모자 중 1명 추첨하여 1천만원 또 드림!

■ 이벤트기간
21.9.28(화) ~ 9.30(목)

■ 당첨자 발표 및 경품지급
2021.10.8(금)
※발표일로부터 10영업일 이내 경품지급

※본 이벤트는 안내문자를 *** 고객님만 당첨대상에 해당됩니다.
※모바일쿠폰 경품은 고객정보상의 휴대전화번호로 발송되오니 등록된 고객정보를 확인해주시기 바랍니다.
**은행 입출금이 자유로운 예금 계좌로 입금됩니다.  
※당첨차 발표일로부터 1개월까지 연락처 오류 등의 사유로 경품 반송 시 당첨이 무효처리됩니다. 
※당첨자 발표일 기준 [Service]*** 고객님은 당첨에서 제외됩니다.
**은행의 사정으로 변경 또는 중단될 수 있습니다. (단, 기 조건 충족고객 및 당첨고객 제외)
※자세한 내용은 고객센터(☎XXXX-XXXX)로 문의하시기 바랍니다.

준법감시인 심의필 제2021-2591-4호(2021.9.27)(유효기간 2021.10.22까지)
무료 수신 거부 XXX-XXXX-XXXX

☎15889999/무료수신거부0808535882","'**은행에서는 한정된 기간 동안 럭키박스 이벤트를 진행하며, 참여자 모두에게 상품을 제공하고 추가로 대상자 중 1명을 추첨하여 큰 상금을 제공하는 이벤트를 진행하고 있습니다.'"
1,"**은행]감사선물도착!
[Web발신]
**은행]
[Service]'청년내일계좌'에 관심을 가져 주신
***님께 감사의 선물로 ‘신라면 큰사발’을
준비하였습니다.

오늘 단 하루, [Service]하시면
8/16(수) 쿠폰을 적립해 드립니다.

**은행으로부터 수[Service]*** 고객님
◈ 참여 방법 : 오늘 [Service]하면 당첨!
◈ 참여 기간 : 23.07.31(월), 단 하루!
◈ 증정 경품 : [CU] 농심)신라면 큰사발 교환권 1매
◈ 쿠폰 적립일 : 2023.08.16(수)
※ 앱 푸시로 쿠폰 적립 알림 드려요 
※ 쿠폰 확인 : [Service]>My[Service]>쿠폰함

◈ 바로 로그인하러 가기: [URL]

**은행 대표 스마트폰뱅킹 브랜드입니다.
**은행의 사정에 따라 변경 또는 중단될 수 있으며, 각 이벤트별 혜택은 동일 금액대의 다른 상품으로 변경될 수 있습니다. (단 기조건 *** 고객님 제외)
※본 이벤트 경품은 교환,환불,환가, 연장 및 재발급이 불가합니다.
※ 쿠폰 사용 관련 유의사항은 발급된 모바일 쿠폰 하단에 명시되어 있습니다.
**은행 고객센터(XXXX-XXXX)
※ 본 홍보물은 법령 및 내부통제기준에 따른 절차를 거쳐 제공됩니다.
※ 본 홍보물은 2023년 07월 31일까지 유효합니다.
준법감시인 심의필 제2023-광고-05262호(2023.07.28)
무료수신거부 XXX-XXX-XXXX",'**은행에서는 단 하루 동안 '청년내일계좌'에 관심을 보여주신 고객들을 대상으로 '신라면 큰사발' 쿠폰을 증정하는 이벤트를 진행하고 있습니다.'
2,"**은행]
[Web발신]
(광고)(광고)호텔 숙박권부터 골드바까지~!! 
「[Service]Grand Open 이벤트」 
7월에 찾아온 행운의 선물,국민 럭키룰렛 

▶이벤트 응모하기 
[URL] 
▶[Service]등록하러 가기 
[URL] 

■기간: 2023.7.10(월)~7.30(일) 
■참여방법 
★EVENT 1★ 
①[Service]등록하기 
②응모하기 클릭 
③매주 화요일에 룰렛 돌리기 

★EVENT 2★ 
①[Service]등급 확인하기 
②이벤트 페이지 “내 등급 입력하기”에서 본인등급 선택! 

■경품 
★EVENT 1★ 
1등 
1회차:워커힐 그랜드 클럽스위트 숙박권(1명) 
2회차:골드바 10g (1명) 
3회차:신라호텔 더파크뷰 1인식사권 5매(1명) 
2등:BBQ 황금올리브치킨+ 콜라 1.25L 모바일쿠폰 1매(매주 500명) 
3등:스타벅스 카페아메리카노 Tall 모바일쿠폰 1매(매주 1,000명) 
4등:포인트리 100P(전원) 
★EVENT 2★ 
주식쿠폰([Service][105560] 용) 5천원권(30,000명 추첨) 

■경품지급 
이벤트 페이지 참고 

▶챗봇과 상담하기 
[URL] 

※상품(서비스) 가입 전 상품(서비스)설명서 및 약관 필독 
**은행이 상품 계약체결을 권유하는 경우 및 일반금융소비자가 설명을 요청하는 경우에도 중요한 사항을 이해할 수 있도록 설명받을 권리가 있음 
**은행의 사정으로 변경 또는 중단될 수 있음 
**은행 고객센터(XXXX-XXXX)로 문의 

준법감시인 심의필 제2023-2547-8호(2023.7.4) | 유효기간 2023.7.4~2023.8.18까지 
무료수신거부 XXX-XXX-XXXX 

☎15889999/무료수신거부0808535882","'**은행에서는 서비스 등록 후 룰렛을 돌려 호텔 숙박권, 골드바 등 다양한 경품을 받을 수 있는 이벤트와 서비스 등급에 따른 주식쿠폰 추첨 이벤트를 진행하고 있습니다.'"
3,"**카드대출 이지론 금리 할인!
[Web발신]
**카드] 간편한 신청, 중도상환수수료 없는 이지론 금리할인!!   

■ ***님께 드리는 혜택: 
 - 가능   금액 : 440만원 
 - 할인전금리 : 연 15.60%
 - 할인후금리 : 연 15.10%
 - 적용   기간 : 2023.8.2(수) ~ 9.4(월) 
  
■ 신청방법 
1. [Service]: [URL]
**은행 자동화기기
3. 금융서비스센터 ☎XXXX-XXXX / 고객센터 ☎XXXX-XXXX 
4. 신청가능시간 01:00 ~ 23:00

■ [Service]안내
타사 대출 이용중이신가요? 기존 대출 확인하고 유리한 조건으로 갈아타세요!
-[Service]: [URL]
-가능금액 : 최고 1억원
-적용금리 : 5.9 % ~ 19.9%(개인신용평점 등에 따라 차등 적용)
- 대출기간 : 3 ~ 54개월

■ 꼭 알아두세요 
- 대출가능여부 및 대출가능금액은 2023년 7월 31일 기준이며 신청 당시 개인신용평점과 회사정책, 차주별 DSR기준에 따라 변동될 수 있음
- 대출취급이 부적정한 경우(개인신용평점낮음, 연체사유 발생 등) 대출이 제한 될 수 있음
- 취급수수료 및 중도상환수수료 없음
- 신청 전 상품설명서와 약관을 반드시 확인 필수
- 이지론 금리: 연 3.9%~19.9% (개인신용평점 등에 따라 차등 적용)
- 연체이자율: ""정상이자율+연체가산이자율(3%p)""로 법정 최고금리(연20%) 이내에서 적용
- 이자 납입일에 이자를 납입하여야 함
- 대출상환방법: 원(리)금균등분할 등
※상환능력에 비해 대출금이 과도할 경우, 귀하의 개인신용평점이 하락할 수 있음
※개인신용평점 하락 시 금융거래와 관련된 불이익이 발생할 수 있음
※일정기간 원리금을 연체할 경우, 모든 원리금을 변제할 의무가 발생할 수 있음
- 금융소비자는 해당 상품 또는 서비스에 대하여 설명을 받을 권리가 있으며, 그 설명을 듣고 내용을 충분히 이해한 후 거래하시기 바랍니다.

**카드 고객센터 (☎XXXX-XXXX) 

**카드의 영업정책에 따라 변경 또는 중단 될 수 있습니다.
**카드 광고성 정보 수신 *** 고객님께 발송되었습니다.
(동의 여부는 전 영업일자 기준으로 발송 시점과 다를 수 있으니 양해를 부탁드립니다)
※여신금융협회 심의필 제 2023-L1f-05106호
    (2023.05.16 ~ 2024.05.15)
※ 무료수신거부 ☎XXX-XXXX-XXXX","'**카드에서는 이지론 금리 할인 이벤트를 진행하며, 중도상환수수료 없이 간편하게 신청할 수 있습니다. 또한, 타사 대출 이용 중인 고객들을 위해 유리한 조건으로 대출을 갈아탈 수 있는 서비스를 제공하고 있습니다.'"
4,"**카드, 이용한도 상향 가능 안내]
[Web발신]
**카드] 이용한도 상향 가능 안내

안녕하세요.

**카드를 이용해주시는 *** 고객님께 깊은 감사의 말씀을 드립니다.
**카드 이용을 *** 고객님의 이용한도가 다음과 같이 상향 가능함을 안내하여 드립니다.

■ 상향가능 한도금액
  총 한도 : 300만원 → 500만원
**카드대출(현금서비스) 한도 : 120만원 → 200만원

■ 한도상향 방법
  아래 링크 또는 전용 ARS를 통해 한도상향을 진행할 수 있습니다.
  ① 바로가기 : [URL]
  ② [Service]: [URL]
  ③ 챗봇에서 한도상향 1:1상담하기 : [URL]
  ④ 전용 ARS : ☎15667227

※ 본 안내는 여신전문금융업 감독규정 제24조의5의 3항에 의거하여 적법하게 발송되었습니다.
**카드 사정에 의해 안내드린 이용한도로 상향되지 않을 수 있습니다. 
※ 한도 상향 *** 고객님의 신용도나 월 가처분소득 변경 등의 사유 발생시 이용한도가 다시 조정될 수 있습니다.
※ 기타 문의사항은 고객센터(☎15447000)로 문의바랍니다.","'**카드에서는 고객님의 이용한도를 상향하는 서비스를 제공하며, 상향 가능한 한도와 상향 방법을 안내하고 있습니다.'"
5,"**증권] 비대면계좌 수수료 혜택 지금 신청 하세요~
[Web발신]
**증권] 비대면계좌 수수료 혜택 신청 안내

****** 고객님! 반갑습니다.

**증권 비대면계좌를 개설하여 주셔서 다시 한번 감사의 말씀을 드립니다.
★*** 고객님께서는 평생수수료 혜택 대상고객이시며, 지금 신청하시면 평생 온라인 국내주식 위탁수수료 혜택을 받으실 수 있습니다.★

▣ 평생수수료 혜택 대상 계좌번호(개설일) : 367-8XX-3XX-01 (2023-7-24)
▣ 평생수수료 혜택 신청 가능 기간 : ~2023-10-23

▶평생수수료 혜택 신청하기
(M-able 앱) [URL]
(M-able mini 앱) [URL]

※ 수수료 혜택 미신청 시 혜택 적용 불가하며, 신청 완료 이후 주문 접수분부터 적용
※ 수수료 혜택은 주식(코스피,코스닥,코넥스) 기준 0.0044792% 부과
※ HTS(H-able,ACE), 홈페이지, MTS(M-able, M-able mini) 거래 시 혜택 적용
**증권플러스 등 제휴어플 제외) 
※ 수수료 혜택 적용 계좌 중 아래의 경우 해당일로부터 혜택 적용 불가
   - 협의수수료 등록, 주거래지점 변경, 관리자 등록, 스탁론 약정 등
     (스탁론 약정 계좌는 수수료 혜택 신청은 가능[Service]적용은 불가하며, 스탁론 해지 시 혜택 적용) 
**증권 해지수수료 0.2% 부과됩니다. 
※ 본 안내는 전일자 기준 수수료혜택 미신청 고객 대상으로 발송, 신청완료 고객도 문자 발송이 될 수 있음

**증권은 *** 고객님과 함께 합니다. 감사합니다.
**증권 고객센터 ☎ XXXX-XXXX

**증권 준법감시인 심사필 제2023-0956호(2023.04.14~2024.04.13)
**은행연계 저가수수료계좌는 국내주식 기준 HTS,홈페이지 0.015%, 모바일 0.12%일률적용되며, 자세한 사항은 홈페이지 참조 *비대면계좌는 신용거래 이자율 더 높게 적용됨 유의(비대면계좌 최대 연9.1%~최소 연5.5%, 일반계좌 최대 연9.1%~최소 연4.9%) *당사 사정으로 이벤트 일정변경/중단가능(단,기조건 충족/당첨고객 제외)

무료수신거부 XXX-XXX-XXXX",'**증권에서는 비대면 계좌를 개설한 고객들에게 평생 온라인 국내주식 위탁수수료 혜택을 제공하는 이벤트를 진행하고 있습니다.'
6,"(광고) 최대2만원 쿠폰 제공!
[Web발신]
**카드]
[Service][Company]
첫 자산 연동하면 [Company]포인트 최대 2만원!

■ 내용 
자산 연동 후 프로모션코드 '내자산연동' 입력하면 [Company]포인트 5천원 즉시 제공
쿠폰함의 '혜택2' 쿠폰교환코드를 이벤트 페이지에 등록하면, [Company]포인트 1만 5천원, 1만원, 5천원, 1천원 中 1개 즉시 추첨 제공

■ 기간: 2023.7.10(월)~7.19(수)

■ 대상: 본 메시지 수신 [Service]

■ 이벤트 바로가기
[URL]

■ 유의사항 
- 자세한 내용은 반드시 이벤트 본문 및 '꼭 확인하세요' 참조

**카드 광고성 정보 수신 *** 고객님께 발송되었습니다. (동의 여부는 전 영업일자 기준)

■ 문의: ☎XXXX-XXXX

**카드의 영업정책 및 제휴업체의 사정으로 변경 또는 중단될 수 있습니다.
※ 준법감시인 심의필 230407-01179-LMS(2023.04.07)
※ 무료수신거부 ☎XXX-XXXX-XXXX","'[Company]에서는 첫 자산 연동 고객을 대상으로 프로모션 코드 입력 시 즉시 포인트를 제공하며, 추가로 쿠폰 교환 코드를 이벤트 페이지에 등록하면 포인트를 추첨하여 제공하는 이벤트를 진행하고 있습니다.'"
7,"**은행 [깜짝 이벤트] 안내
[Web발신]
(*** 고객님 안녕하세요.
**은행, 
**은행이에요.

봄인가.. 여름인가.. 날씨도 애매하고..
뭔가.. 축 처지는 듯한 느낌..

지치고 힘들 땐 내게 기대~♪

모바일뱅킹 로그인만 하셔도
시~원한 아이스크림 드릴게요!

▶ 이벤트 기간 
: 2022.05.27(금) ~ 2022.05.31(화)
▶ 이벤트 참여방법 
: 모바일뱅킹 로그인 시, 자동 참여
▶ 이벤트 참여 바로가기 
: [URL]

▶ 경품 
: 베스킨 라빈스 쿼터 아이스크림 
  모바일 쿠폰 (추첨 400명)

▶ 경품 지급(예정)일 
: 2022.06.07(화) 
  
* 유의사항
**은행으로부터 이 문자를 직접 수[Service].
**은행 모바일뱅킹 로그인 시, 이벤트에 자동 참여 됩니다.
**은행 사정에 따라 공지없이 변경 또는 중단될 수 있습니다.
이벤트 참여 고객 중 400명을 추첨하여 경품을 제공합니다.
이벤트 당첨에 대한 안내는 없으며, 당첨 고객에 한하여 
**은행에 등록된 휴대폰 번호로 모바일 쿠폰이 발송될 예정입니다.
**은행 고객센터 (XXXX-XXXX 혹은 XXXX-XXXX)로 문의바랍니다.

준법감시인 심의필. 
심의번호 : 2022-G-1194
심의일자 : 2022-05-17 
유효기일 : 2022-05-31
* 무료수신거부 XXX-XXXX-XXXX",'**은행에서는 모바일뱅킹 로그인 고객 중 추첨을 통해 아이스크림 쿠폰을 제공하는 이벤트를 진행하고 있습니다.'
8,"**증권] 엄청난 혜택! 마감 임박!
[Web발신]
**증권]

무더위 피크가 지나가네요
여름 경품 이벤트도 끝나갑니다

#제습기 #선풍기 #호캉스 #상품권 
손쉽게 경품받는 핵이득 찬스!

[Service][모니모] 
첫 가입이면 누구나 드리니
가족, 친구와 공유하고
함께 당첨 기운 나눠요♡

▼곧 마감! 서두르세요▼
① 아래 링크로 모니모 가입하고
[URL]
② 이벤트 신청폼 제출하면 끝!
[URL]

▷기간: 23.7.7~23.8.8
▷대상: 기간 내 링크를 통한
　모니모 최초 신규 가입 및
　이벤트 신청한 고객 전원
▷경품:
① 특급호텔 숙박권 50만원권
② 신세계백화점 상품권 50만원권
③ [Service]18L
④ 다이슨 쿨 선풍기 타워형
⑤ 스타벅스 아메리카노 1잔
(①~④번 경품: 각 3명 추첨,
⑤번 경품: 상위 당첨 고객 제외 전원)

※ 이벤트 자세히 보기
: [URL]

★ 나는 언제쯤 팔자가 필까?
'모니모 운세톡톡'보고
팔자피자! 어깨피자! 웃음꽃피자♥
: [URL]

**증권과 무관하며 모니모에서 주관
※ 투자전 설명 청취 및 상품설명서·약관 필독
※ 예금자보호법상 보호상품 *** 고객님
※ 원금손실(0~100%) 발생 가능 및 투자자 귀속

**증권 준법감시인 심사필 제23-B2608호(2023.08.03 ~ 2024.08.02)

무료수신거부 XXX-XXX-XXXX",'**증권에서는 서비스 '모니모'의 신규 가입 고객을 대상으로 여러 가지 경품을 제공하는 이벤트를 진행하고 있습니다.'
9,"**은행]
**은행]
원하는 간식 골라 먹는 이벤트 진행중♬

★*** 고객님★ 
[Service]1만원 상당의
간식쿠폰 드려요!(조건충족시)

▶이벤트 자세히 보기
[URL]

■기간: 2023.7.20(목)~8.31(목)

**은행으로부터 본 이벤트 알림을 직접 *** 고객님

■참여방법
①[Service]접속하기
②‘응모하기’ 클릭 후 경품 선택하여 응모하기
③2023.9.30(토)까지 자동납부* 1건 이상 등록하여 출금 완료 시 경품 지급!
 ★자동납부 항목: 공과금, 아파트관리비 중 한 가지 이상
※자세한 내용은 이벤트페이지에서 꼭 확인하세요.

■경품: ①~④ 중 한 가지 선택(변경불가)
①배스킨라빈스 5천원권 2매
②파리바게뜨 5천원권 2매
③GS25 모바일 상품권 5천원권 2매
④CU 모바일 금액권 5천원권 2매

■경품지급: 자동납부 출금일에 따라 경품지급일 상이
[1차 지급] 2023.9.7(목) 이내, [2차 지급] 2023.10.12(목) 이내

▶카카오톡으로 혜택,경품이벤트 정보받기
[URL]

▶챗봇과 상담하기
[URL]

※본 이벤트는 안내메시지를 직접 *** 고객님만을 대상으로 함
※상품(서비스) 가입 전 상품(서비스)설명서 및 약관 필독
**은행이 상품 계약체결을 권유하는 경우 및 일반금융소비자가 설명을 요청하는 경우에도 중요한 사항을 이해할 수 있도록 설명받을 권리가 있음
**은행의 사정으로 변경 또는 중단될 수 있음
**은행 고객센터(XXXX-XXXX)로 문의

준법감시인 심의필 제2023-2750-8호(2023.7.18) (유효기간 2023.7.18~2023.10.12까지)

무료수신거부 XXX-XXX-XXXX

☎15889999/무료수신거부0808535882",'**은행에서는 자동납부 1건 이상 등록 고객을 대상으로 간식 쿠폰 이벤트를 진행하고 있습니다.'
